Mode,Percentage,Layer,Capacity,Radius,Dimension,Correlation,NormedCapacity,NormedRadius,NormedDimension,NormedCorrelation
FinalTrain_1,128,1,0.13846420384673683,1.265327794134239,10.6034874385831,0.4369466863702052,1.0,1.0,1.0,1.0
FinalTrain_1,128,2,0.13781205146360845,1.2599286725901315,10.716028036189584,0.40811189041198875,0.9952901012318661,0.9957330254111729,1.010613545614906,0.9340084343063629
FinalTrain_1,128,3,0.1359624315685088,1.2705623360028626,10.924815233183923,0.42806720504210105,0.981931992466463,1.0041369057827465,1.030303972769525,0.9796783415343698
FinalTrain_1,128,4,0.13022827826797426,1.2372403317947855,11.53751887808112,0.4577575373604985,0.9405194602651329,0.9778022244752228,1.0880871925305766,1.0476278952088476
FinalTrain_1,128,5,0.12480012644342761,1.2187615081235643,12.03106246797463,0.4452302061405707,0.9013168961818196,0.963198242995574,1.1346325949514484,1.01895773564317
FinalTrain_1,128,6,0.12249457016892053,1.2035104614482535,12.443185904879588,0.4658720643085071,0.884665976951756,0.9511452028695204,1.1734993771579663,1.06619887240384
FinalTrain_1,128,7,0.1159175347578188,1.2137204942893218,12.980983208768011,0.43295001754210105,0.8371660800225705,0.9592142841687693,1.2242182851590766,0.9908531888379675
FinalTrain_1,128,8,0.11105088376124733,1.1968255254944706,13.554675138073602,0.38891986601176154,0.8020187216341291,0.9458620375231394,1.2783223648430952,0.8900853997602978
FinalTrain_1,128,9,0.1088318755884845,1.2223218598625163,13.843328851589018,0.31237466664787156,0.7859928599954127,0.9660120211765774,1.3055448909400362,0.7149033884266847
FinalTrain_1,128,10,0.11075284368010663,1.2110590123677414,13.702771808064387,0.3352392747803061,0.7998662513720634,0.95711089093429,1.2922891536801246,0.7672315301557705
FinalTrain_1,128,11,0.10769044996460524,1.2163173936601455,14.032591022158867,0.3690334341482057,0.777749389176466,0.9612666372292665,1.3233939402897037,0.8445731382330255
FinalTrain_1,128,12,0.10573811948382389,1.225927483631598,14.116669955431401,0.3454441049142943,0.7636494960160478,0.9688615782524566,1.3313233063364438,0.7905863934658955
FinalTrain_1,256,1,0.1390001781580944,1.274902854728621,10.541673105141317,0.444600733165848,1.0,1.0,1.0,1.0
FinalTrain_1,256,2,0.13711566256138144,1.273220228930085,10.738601312377563,0.4077787340659249,0.9864423512136109,0.9986801929321162,1.0186809252451778,0.9171796257785577
FinalTrain_1,256,3,0.13592446433173666,1.2489855622342843,10.973904714459554,0.42683168771718794,0.9778725907612901,0.9796711628668731,1.0410021829558944,0.9600337018741898
FinalTrain_1,256,4,0.13064862735565336,1.2350390425227995,11.462217402143017,0.45267577733435244,0.9399169777110483,0.9687318825446454,1.0873243068553071,1.0181624625560215
FinalTrain_1,256,5,0.12922443207548712,1.2011398617498539,11.787429834309993,0.43562091336916936,0.9296709816336447,0.9421422638554932,1.1181744792068256,0.9798025078979594
FinalTrain_1,256,6,0.12108166512993068,1.210304253481101,12.492617514748,0.46146842917794373,0.8710899995553691,0.949330569770141,1.185069712383244,1.0379389748010235
FinalTrain_1,256,7,0.11431858724531849,1.214748318183115,13.101252506494083,0.44102525749298316,0.8224348253373902,0.9528163763047572,1.242805802819329,0.991958007699616
FinalTrain_1,256,8,0.11219659112531843,1.2033333730729192,13.415440141243689,0.43022606469067426,0.8071686857675073,0.9438627959846115,1.2726101452245562,0.967668365338004
FinalTrain_1,256,9,0.10985524237156463,1.2124183870932346,13.687028651782896,0.3424875625981522,0.7903244717184373,0.9509888401272056,1.298373466457383,0.7703261309521844
FinalTrain_1,256,10,0.10525078648293085,1.2209418079291021,14.20208477813765,0.3157504769258721,0.7571989322432517,0.9576743854644477,1.3472325157959129,0.7101888354468563
FinalTrain_1,256,11,0.10521714709038131,1.223571993639101,14.325465920087538,0.3363109875158714,0.7569569225350967,0.9597374334058995,1.3589366485952608,0.7564337222773277
FinalTrain_1,256,12,0.10553539233589997,1.2242491347397986,14.134685771340278,0.33358628416533015,0.7592464537409971,0.9602685649334398,1.3408389380284045,0.7503052947978237
FinalTrain_1,384,1,0.21739474818582089,1.1734193577477627,6.490593360054211,0.3408217367932824,1.0,1.0,1.0,1.0
FinalTrain_1,384,2,0.22214281366232225,1.1451255057775767,6.4647351976125735,0.3152506454562028,1.0218407551982023,0.9758876894408043,0.9960160556967289,0.9249722403926685
FinalTrain_1,384,3,0.21744051060477315,1.151058360904629,6.628153844327852,0.3206734326741592,1.000210503792452,0.9809437293705014,1.021193822604917,0.9408831598926342
FinalTrain_1,384,4,0.21133846075870305,1.101273709561128,6.912922830165659,0.3369985147134523,0.972141519159694,0.9385167393819805,1.065067929337653,0.9887823408336511
FinalTrain_1,384,5,0.20685958397446783,1.1187310724638704,7.11181822586948,0.3374085156875572,0.9515390123300127,0.9533940829228692,1.095711567703277,0.9899853186072007
FinalTrain_1,384,6,0.20060668306834528,1.0947544522609043,7.427765231793099,0.3641106355274823,0.9227761238135992,0.9329609615117939,1.144389244519096,1.0683316121598347
FinalTrain_1,384,7,0.19098741389357127,1.110578706073001,7.72979724894928,0.34552237938972774,0.8785281865701852,0.9464465527521407,1.1909230512762734,1.0137920856828928
FinalTrain_1,384,8,0.1808421045537392,1.1116757953852128,8.086648738185325,0.3361000928527511,0.8318605029002916,0.9473815035052265,1.2459028457943302,0.9861462945850924
FinalTrain_1,384,9,0.18282107340299672,1.0894810538624038,8.101455592129232,0.2747512290254661,0.8409636153985105,0.9284669173632277,1.2481841247348713,0.8061435036701023
FinalTrain_1,384,10,0.17820193708248552,1.0988571713735173,8.300935481598643,0.2573744599973547,0.8197159249227364,0.9364573407776752,1.278917815539951,0.7551585835426314
FinalTrain_1,384,11,0.17152548488451488,1.1225558735289987,8.578747540563516,0.2812535746968657,0.789004731328198,0.9566536175810237,1.321720074679253,0.8252219396072544
FinalTrain_1,384,12,0.17306942034194178,1.1013820869432902,8.474232311580188,0.4320478890968171,0.7961067219250786,0.9386090996975375,1.3056175054401205,1.2676652996427449
FinalTrain_2,128,1,0.1358441733799883,1.2846955847850103,10.674906112729204,0.44144462334603046,1.0,1.0,1.0,1.0
FinalTrain_2,128,2,0.13818598017569397,1.2736489245219944,10.744215593378037,0.4119485071463178,1.0172389196933391,0.9914013402133203,1.006492748499791,0.9331827490022642
FinalTrain_2,128,3,0.1382630717695499,1.2403779355568647,10.896038950139896,0.43238498960004007,1.0178064198807804,0.9655033848072561,1.0207152020894128,0.979477304135407
FinalTrain_2,128,4,0.13255000585752993,1.2392793972401754,11.357327393889264,0.4628146288070536,0.9757503951734183,0.9646482886041559,1.0639276143465386,1.0484092552742954
FinalTrain_2,128,5,0.1272217290775525,1.2131349962689546,11.95198986348208,0.4498413053307104,0.936526947841062,0.9442976302218465,1.1196341904337714,1.0190209180056047
FinalTrain_2,128,6,0.12102376913407169,1.2232997994846775,12.585462951499029,0.4713289760007351,0.8909014359823852,0.9522098573175939,1.1789764536187908,1.0676967190769917
FinalTrain_2,128,7,0.11428466308955297,1.227069047931188,13.173161510982016,0.4378579880776363,0.8412923443530531,0.9551438196438841,1.2340306670495012,0.9918752317307471
FinalTrain_2,128,8,0.11165209943194816,1.2058919756713775,13.50298969309314,0.3942543484571304,0.821913054155299,0.9386597026977248,1.2649281923886535,0.8931003519054993
FinalTrain_2,128,9,0.1059375808317788,1.2311537325811872,14.04463415651,0.31682652950414325,0.7798463356646613,0.9583233157816269,1.3156681668387313,0.7177039038389099
FinalTrain_2,128,10,0.10683065770606645,1.2223465687092443,13.970890611682828,0.34087425054505816,0.7864206100856149,0.9514678677079754,1.3087600456760322,0.772178960888285
FinalTrain_2,128,11,0.10782559623201916,1.2273352501401082,14.014802977551938,0.3753120118492716,0.7937447263962176,0.9553510299838843,1.312873652428671,0.8501904701081381
FinalTrain_2,128,12,0.1069276225252859,1.2120707439614393,14.074985287402745,0.3507078446605186,0.7871344045517803,0.9434692220603182,1.3185113891183684,0.7944549012790059
FinalTrain_2,256,1,0.13838306476369433,1.2619049062808365,10.590667843337057,0.44886911530381246,1.0,1.0,1.0,1.0
FinalTrain_2,256,2,0.1357926106267401,1.260960225650844,10.80825589244791,0.4112769735907845,0.9812805552371764,0.999251385246788,1.0205452623318505,0.916251440717671
