Index,Label,StartChar,EndChar
0,PERSON,9,16
1,PERSON,15,22
2,PERSON,9,16
2,ORG,23,38
3,PERSON,27,34
4,DATE,3,15
4,PERSON,20,27
5,ORG,8,11
8,ORG,9,16
9,PERSON,14,21
9,GPE,30,37
10,ORDINAL,13,18
10,PERSON,25,32
11,ORG,9,16
11,WORK_OF_ART,40,44
12,WORK_OF_ART,9,15
12,ORG,27,34
12,ORDINAL,47,52
13,PERSON,9,16
13,GPE,27,34
14,ORG,21,28
14,ORDINAL,31,36
15,ORDINAL,10,16
15,PERSON,66,73
16,PERSON,17,24
17,GPE,22,29
17,PERSON,44,51
18,PERSON,19,26
18,ORDINAL,40,45
18,ORG,46,58
19,PERSON,9,16
21,PERSON,28,38
21,PERSON,44,51
21,PERSON,59,71
22,ORG,9,24
23,ORG,21,28
23,ORDINAL,31,37
24,PERSON,9,16
24,ORDINAL,19,24
24,DATE,40,44
26,ORG,20,27
28,ORG,0,4
28,CARDINAL,40,43
28,DATE,59,70
30,DATE,3,15
30,ORG,20,65
30,ORG,87,115
31,PERSON,20,27
31,DATE,68,72
32,PERSON,8,15
33,ORG,19,23
33,CARDINAL,44,47
34,ORG,21,28
34,DATE,41,48
35,ORG,21,28
35,ORG,45,60
36,ORG,14,29
36,ORG,52,59
37,WORK_OF_ART,9,15
37,PERSON,27,34
38,PERSON,20,27
38,DATE,69,73
39,PERSON,0,7
40,PERSON,10,17
41,PERSON,14,21
42,PERSON,0,7
43,PERSON,0,7
44,PERSON,0,7
45,PERSON,23,30
45,GPE,48,55
46,PERSON,0,7
46,NORP,32,40
47,ORG,17,24
48,PERSON,9,16
48,PERSON,35,42
49,ORG,20,27
50,ORG,0,7
50,NORP,33,40
51,ORG,0,7
52,PERSON,14,21
53,ORDINAL,12,17
53,PERSON,35,42
54,PERSON,0,7
54,ORDINAL,47,52
55,PERSON,33,40
56,PERSON,19,26
57,ORG,24,48
58,PERSON,15,22
58,DATE,52,57
59,ORG,14,21
60,ORG,21,28
60,ORDINAL,31,36
61,PERSON,12,19
62,NORP,15,22
62,DATE,35,44
63,PERSON,21,28
63,ORG,40,51
64,DATE,3,7
65,ORDINAL,12,17
66,PERSON,12,19
66,GPE,23,33
66,ORG,57,68
67,PERSON,17,24
68,ORG,35,42
68,ORDINAL,53,58
69,ORDINAL,20,25
69,ORG,33,40
70,PERSON,16,23
70,PERSON,29,46
71,PERSON,12,19
71,PERSON,33,49
72,ORDINAL,25,30
72,ORG,37,44
74,NORP,9,16
75,DATE,29,44
76,ORG,20,35
76,ORDINAL,38,43
77,ORG,20,35
77,ORG,72,75
78,PERSON,8,15
78,WORK_OF_ART,42,55
79,PERSON,0,7
79,ORG,38,53
80,ORG,9,24
80,WORK_OF_ART,67,72
81,WORK_OF_ART,13,25
82,WORK_OF_ART,14,34
82,CARDINAL,42,44
82,EVENT,45,65
83,PERSON,16,23
83,WORK_OF_ART,58,72
84,PERSON,10,17
85,PERSON,0,7
85,PERSON,22,34
86,PERSON,9,16
86,ORG,19,24
86,ORDINAL,27,32
87,PERSON,9,16
87,ORDINAL,39,45
88,WORK_OF_ART,38,50
89,PERSON,29,36
91,PERSON,14,21
92,PERSON,18,25
93,PERSON,13,20
94,PERSON,11,18
95,PERSON,13,20
95,PERSON,25,33
96,PERSON,19,26
96,PERSON,31,39
97,DATE,50,59
98,ORG,37,52
99,WORK_OF_ART,1,17
100,WORK_OF_ART,33,57
101,PERSON,22,29
102,ORDINAL,6,11
102,DATE,50,64
103,NORP,5,11
103,DATE,60,76
104,DATE,43,47
105,DATE,38,42
106,ORG,15,22
106,DATE,31,35
106,PERSON,41,53
107,ORG,21,36
107,ORDINAL,37,42
109,PERSON,9,16
110,PERSON,8,15
110,PERSON,41,54
110,DATE,58,68
111,CARDINAL,6,11
111,PERSON,26,33
111,WORK_OF_ART,42,53
111,CARDINAL,67,70
112,PERSON,0,7
112,PERSON,21,37
113,PERSON,8,15
113,WORK_OF_ART,57,82
115,PERSON,14,21
115,PERSON,37,47
116,WORK_OF_ART,33,43
117,PERSON,24,31
117,ORG,45,57
117,PERSON,59,61
119,WORK_OF_ART,36,64
120,ORG,14,21
120,PERSON,35,45
120,DATE,49,53
121,PERSON,9,16
121,PERSON,39,52
121,PERSON,56,66
122,ORG,15,22
122,PERSON,54,67
122,PERSON,71,81
123,ORG,24,31
123,ORG,51,63
123,DATE,72,76
124,ORG,14,21
124,WORK_OF_ART,54,77
125,PERSON,21,28
125,ORDINAL,31,36
125,CARDINAL,82,85
126,PERSON,0,7
126,ORDINAL,10,15
127,WORK_OF_ART,14,33
128,PERSON,0,7
128,ORDINAL,10,15
128,CARDINAL,23,26
129,CARDINAL,13,17
129,ORDINAL,40,45
130,PERSON,0,7
130,ORDINAL,10,15
130,GPE,34,38
131,PERSON,20,27
131,DATE,39,43
132,WORK_OF_ART,27,31
132,CARDINAL,73,76
134,ORG,33,40
135,ORG,9,16
135,ORDINAL,29,34
136,ORG,27,34
136,ORDINAL,37,42
137,ORG,11,18
137,WORK_OF_ART,26,32
137,ORG,69,81
137,ORDINAL,89,93
137,ORG,101,114
138,ORG,20,27
138,ORDINAL,39,43
138,WORK_OF_ART,44,59
139,ORG,0,7
139,ORG,10,15
140,ORG,0,7
140,ORG,10,15
140,ORG,30,56
141,DATE,3,12
141,PERSON,17,24
141,WORK_OF_ART,54,58
141,LOC,67,73
142,ORG,40,55
143,GPE,22,29
143,NORP,60,68
144,ORG,9,24
144,ORG,43,69
145,ORG,21,28
145,NORP,31,39
145,DATE,62,75
146,PERSON,8,15
147,NORP,21,28
147,DATE,43,59
148,ORG,48,63
149,PERSON,20,27
149,DATE,36,50
149,ORDINAL,73,79
151,CARDINAL,59,62
152,ORDINAL,25,31
153,PERSON,18,25
153,CARDINAL,34,39
154,PERSON,16,23
155,PERSON,38,47
156,ORG,20,27
156,ORDINAL,30,36
157,CARDINAL,20,25
157,DATE,38,52
158,ORG,22,29
158,PERSON,45,49
159,PERSON,18,23
159,GPE,49,53
160,DATE,30,34
161,ORDINAL,4,10
161,PERSON,17,24
163,PERSON,0,7
163,ORDINAL,10,15
164,PERSON,19,26
164,DATE,42,46
165,MONEY,9,28
165,WORK_OF_ART,33,53
166,PERSON,9,16
166,ORDINAL,26,31
167,PERSON,8,15
167,WORK_OF_ART,31,49
168,ORG,15,22
168,PERSON,33,45
169,ORG,0,7
169,ORG,18,28
170,ORG,33,43
171,ORG,21,28
171,ORDINAL,31,36
172,ORG,32,57
173,PERSON,0,7
173,DATE,23,27
174,ORDINAL,4,9
175,DATE,4,16
175,PERSON,22,29
175,CARDINAL,44,47
176,PERSON,22,29
177,DATE,3,7
177,PERSON,9,16
177,ORDINAL,29,35
179,PERSON,9,16
179,ORDINAL,27,33
180,PERSON,13,20
181,ORDINAL,17,23
182,ORG,9,16
183,PERSON,8,15
184,ORG,7,14
185,ORG,28,35
185,DATE,40,44
185,ORG,45,54
186,DATE,30,34
186,EVENT,35,47
186,PERSON,105,117
187,ORG,47,63
188,PERSON,0,7
188,ORG,36,52
189,PERSON,15,22
189,ORDINAL,35,40
190,PERSON,53,60
191,PERSON,60,67
192,PERSON,10,17
192,ORG,51,67
193,PERSON,23,30
196,NORP,17,24
196,ORG,36,52
197,ORG,28,35
197,ORG,45,53
198,NORP,10,17
198,DATE,29,45
199,ORG,24,31
199,PERSON,45,55
200,PERSON,20,27
201,PERSON,0,7
202,DATE,3,7
202,PERSON,9,16
203,CARDINAL,9,19
203,PERSON,32,39
204,PERSON,0,7
205,PERSON,0,7
205,ORDINAL,45,49
205,EVENT,50,70
206,ORDINAL,18,23
206,ORDINAL,24,29
206,PERSON,45,52
207,PERSON,23,30
208,CARDINAL,26,29
209,PERSON,8,15
209,DATE,53,59
210,ORG,25,32
210,ORDINAL,48,52
210,EVENT,53,66
211,PERSON,8,15
211,WORK_OF_ART,38,44
212,ORG,0,7
213,PERSON,8,15
213,PERSON,20,29
213,CARDINAL,59,62
213,DATE,74,78
214,PERSON,0,7
214,DATE,41,51
215,PERSON,15,22
216,PERSON,26,33
216,GPE,41,46
217,PERSON,17,24
221,PERSON,9,16
221,DATE,29,41
222,ORG,29,36
223,NORP,8,15
225,DATE,3,13
225,PERSON,32,39
225,PERSON,55,70
226,PERSON,8,15
227,ORDINAL,19,24
227,DATE,58,66
228,PERSON,23,30
229,PERSON,0,7
229,DATE,22,26
230,PERSON,28,35
230,PERSON,50,57
233,PERSON,10,17
233,DATE,29,33
234,NORP,8,15
234,DATE,41,45
235,ORG,35,42
235,NORP,65,71
236,PERSON,23,30
237,PERSON,0,7
237,ORDINAL,16,21
238,PERSON,0,7
238,ORDINAL,10,16
238,DATE,34,43
240,PERSON,0,7
240,DATE,43,47
241,DATE,3,7
241,PERSON,9,16
241,DATE,31,42
242,PERSON,9,16
243,DATE,38,52
244,PERSON,12,19
245,NORP,28,36
246,ORG,20,27
246,ORDINAL,30,36
247,CARDINAL,9,10
248,CARDINAL,19,20
248,DATE,29,43
249,PERSON,18,25
250,NORP,10,17
250,DATE,30,41
250,DATE,76,80
251,PERSON,9,16
251,ORDINAL,26,31
252,PERSON,10,17
252,ORDINAL,36,41
253,PERSON,0,7
253,ORDINAL,10,15
254,ORDINAL,4,9
255,PERSON,9,16
255,ORDINAL,26,31
258,GPE,35,48
259,ORG,9,16
260,ORG,9,16
262,PERSON,10,17
262,ORDINAL,20,25
263,PERSON,20,27
264,PERSON,0,7
265,PERSON,0,7
266,PERSON,9,16
266,DATE,25,29
267,PERSON,9,16
267,WORK_OF_ART,44,54
268,WORK_OF_ART,41,51
269,ORG,38,57
270,NORP,9,15
270,CARDINAL,35,39
271,PERSON,9,16
271,WORK_OF_ART,33,43
272,WORK_OF_ART,27,37
273,GPE,35,40
273,ORDINAL,43,49
274,NORP,15,22
274,DATE,34,43
274,PERSON,50,55
275,ORG,20,27
276,PERSON,19,26
276,WORK_OF_ART,30,38
276,PERSON,39,45
277,CARDINAL,0,3
277,PERSON,7,14
278,PERSON,0,7
279,PERSON,0,7
281,PERSON,18,25
283,PERSON,14,21
284,ORG,21,28
284,DATE,56,64
285,PERSON,28,34
286,PERSON,6,19
286,ORG,29,36
286,DATE,58,66
287,ORG,0,7
287,DATE,37,41
288,ORG,49,56
289,PERSON,10,17
289,ORDINAL,30,33
290,PERSON,9,16
290,ORDINAL,25,30
292,PERSON,11,18
292,WORK_OF_ART,29,41
293,PERSON,13,20
294,DATE,37,52
295,ORG,9,16
295,ORDINAL,29,34
296,ORDINAL,31,36
296,ORG,47,54
296,DATE,63,71
297,ORG,13,20
297,ORDINAL,23,28
298,PERSON,45,52
298,PERSON,57,62
299,PERSON,20,27
299,ORDINAL,54,58
300,PERSON,18,25
300,GPE,34,39
300,DATE,43,51
301,PERSON,19,26
301,DATE,52,66
302,PERSON,0,7
302,GPE,34,43
303,PERSON,0,7
303,ORDINAL,41,45
304,PERSON,0,7
304,GPE,33,38
304,DATE,42,50
305,PERSON,8,15
305,GPE,39,48
306,PERSON,3,10
306,CARDINAL,15,20
306,DATE,33,37
308,GPE,30,39
309,NORP,10,17
309,PERSON,27,34
310,PERSON,20,27
310,ORDINAL,49,53
310,GPE,61,68
311,ORG,20,27
311,ORDINAL,39,43
311,DATE,44,50
311,PERSON,51,58
312,ORG,0,7
313,ORG,19,26
313,ORDINAL,62,67
314,PERSON,8,15
314,ORG,32,42
315,WORK_OF_ART,27,36
316,PERSON,0,7
317,PERSON,13,20
317,PRODUCT,41,50
321,ORG,9,16
321,PERSON,25,34
322,ORG,10,17
322,PRODUCT,50,59
323,DATE,6,16
323,PERSON,39,44
323,PERSON,49,56
324,PERSON,10,17
325,PERSON,0,7
326,PERSON,8,15
327,PERSON,10,17
327,PERSON,22,27
329,PERSON,8,15
330,PERSON,10,17
331,ORG,25,32
331,PERSON,41,48
332,NORP,10,17
332,PERSON,22,27
333,ORG,31,38
333,PERSON,43,48
334,ORG,9,16
336,PERSON,0,5
336,PERSON,10,17
336,DATE,51,65
337,PERSON,0,7
338,DATE,28,32
338,EVENT,33,49
341,ORG,26,52
342,DATE,35,55
343,ORG,29,43
344,PERSON,10,17
345,NORP,14,21
346,DATE,28,32
346,ORG,33,55
347,ORG,35,41
347,DATE,46,73
348,PERSON,0,5
349,PERSON,14,19
350,PERSON,21,28
353,ORG,10,16
355,ORG,9,16
356,PERSON,9,16
356,PERSON,21,26
357,PERSON,14,19
357,DATE,28,36
358,GPE,31,36
359,GPE,29,34
360,PERSON,0,7
360,ORG,12,17
361,PERSON,0,7
361,DATE,35,39
362,PERSON,13,20
362,PERSON,31,36
362,FAC,40,54
363,DATE,24,38
364,DATE,24,33
365,DATE,25,29
366,NORP,14,21
366,DATE,37,41
366,GPE,58,63
367,NORP,14,21
367,ORDINAL,37,42
367,PRODUCT,67,73
368,ORG,31,38
369,ORG,9,16
369,DATE,28,42
370,PERSON,0,7
371,PERSON,0,7
372,PERSON,10,17
375,DATE,29,33
376,PERSON,10,19
377,ORG,0,7
377,NORP,30,38
377,ORG,59,67
378,ORG,20,27
379,PERSON,0,7
379,DATE,36,40
380,ORG,13,15
381,PERSON,11,18
383,PERSON,9,16
387,DATE,37,41
389,PERSON,9,22
390,CARDINAL,29,32
391,PERSON,0,7
391,ORG,19,24
392,PERSON,13,18
395,PERSON,0,7
395,DATE,53,84
396,PERSON,0,7
396,PERSON,12,17
396,DATE,58,62
397,PERSON,0,7
397,DATE,50,60
398,DATE,9,20
398,PERSON,34,41
399,DATE,0,21
399,PERSON,46,53
400,DATE,3,7
400,PERSON,19,26
400,DATE,30,32
401,PERSON,17,22
402,DATE,25,29
403,PERSON,8,15
403,DATE,31,35
404,ORG,20,27
404,DATE,30,36
404,DATE,59,63
405,ORG,9,16
406,ORG,19,26
407,PERSON,9,14
407,ORG,19,26
407,ORDINAL,38,43
407,MONEY,63,85
408,PERSON,0,7
409,PERSON,17,24
410,ORG,20,27
411,PERSON,42,49
411,PERSON,69,79
412,PERSON,22,29
413,ORG,9,23
413,PERSON,34,41
414,PERSON,10,15
414,PERSON,33,40
416,ORG,22,29
417,NORP,7,14
417,ORG,43,58
418,ORG,0,15
418,PERSON,16,27
418,ORG,34,41
419,PERSON,10,20
419,ORG,36,43
420,GPE,11,18
421,ORG,8,11
421,PERSON,31,38
422,PERSON,0,7
422,LANGUAGE,24,31
423,NORP,0,7
423,PERSON,14,21
424,PERSON,0,7
424,NORP,28,35
424,NORP,51,59
425,PERSON,24,31
428,LANGUAGE,33,40
429,ORG,25,32
430,ORG,18,25
431,PERSON,12,19
431,NORP,28,35
432,NORP,19,26
433,PERSON,0,7
435,PERSON,15,22
436,PERSON,5,10
439,ORG,0,7
440,ORG,35,42
441,CARDINAL,24,27
441,ORG,40,47
442,DATE,36,40
443,PERSON,0,7
444,PERSON,0,7
444,CARDINAL,50,60
445,PERSON,0,7
445,CARDINAL,15,16
445,ORG,47,56
445,DATE,69,73
446,PERSON,9,16
446,ORDINAL,28,33
446,NORP,34,50
446,DATE,82,90
448,CARDINAL,18,27
448,CARDINAL,50,52
448,CARDINAL,57,60
449,CARDINAL,45,50
450,PERSON,9,16
